City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,poronaysk,49.2167,143.1167,289.7,99,100,2.43,RU,1692827632
335,dire,12.2833,-10.9667,297.87,91,74,1.28,ML,1692827632
336,mendota,36.7536,-120.3816,307.74,17,0,1.71,US,1692827632
337,achinsk,56.2694,90.4993,288.29,83,42,2.42,RU,1692827632
338,vila velha,-20.3297,-40.2925,299.12,83,0,5.66,BR,1692827262
339,cidreira,-30.1811,-50.2056,289.9,97,100,2.96,BR,1692827272
340,kas,36.2018,29.6377,301.8,58,0,1.63,TR,1692827633
341,tura,25.5198,90.2201,296.63,99,100,1.59,IN,1692826953
342,yilan,24.757,121.753,299.21,85,100,1.28,TW,1692827633
343,chernyshevskiy,63.0128,112.4714,283.91,59,100,1.44,RU,1692827286
344,montepuez,-13.1256,38.9997,292.54,83,0,2.65,MZ,1692827633
345,el calafate,-50.3408,-72.2768,272.66,76,24,1.04,AR,1692827633
346,jaen,38.0,-3.5,303.11,26,0,2.7,ES,1692827634
347,necochea,-38.5473,-58.7368,281.2,57,0,4.45,AR,1692827560
348,brush,40.2589,-103.6238,308.77,27,0,4.12,US,1692827634
349,vadso,70.0744,29.7487,283.64,93,75,4.63,NO,1692827239
350,vila franca do campo,37.7167,-25.4333,294.38,81,37,2.99,PT,1692827277
351,tromso,69.6496,18.957,283.16,87,75,4.63,NO,1692827635
352,lerwick,60.1545,-1.1494,286.15,88,18,4.39,GB,1692827272
353,selkirk,50.1436,-96.8845,296.19,54,100,0.4,CA,1692827635
354,anqiu,36.4342,119.1925,292.46,67,33,1.63,CN,1692827635
355,sinabang,2.4803,96.3801,299.35,83,100,0.42,ID,1692827635
356,vernon,50.2581,-119.2691,294.6,42,62,1.54,CA,1692827272
357,paragominas,-2.9667,-47.4833,303.23,50,80,2.84,BR,1692827636
358,nagqu,31.5,92.0,277.65,92,100,0.61,CN,1692827636
359,santa cruz cabralia,-16.2781,-39.0247,297.28,88,0,3.6,BR,1692827636
360,wanning,18.8003,110.3967,299.65,89,100,3.63,CN,1692827014
361,talara,-4.5772,-81.2719,300.57,65,0,4.94,PE,1692827636
